Date,open,high,low,close
20220102 215600,0.839990,0.840010,0.839970,0.839980,0
20220102 215700,0.839970,0.839970,0.839900,0.839900,0
20220102 215800,0.839890,0.839900,0.839850,0.839870,0
20220102 215900,0.839860,0.839880,0.839860,0.839880,0
20220102 220000,0.839880,0.839920,0.839860,0.839860,0
20220102 220100,0.839850,0.839860,0.839850,0.839850,0
20220102 220200,0.839850,0.839910,0.839830,0.839890,0
20220102 220300,0.839890,0.839890,0.839890,0.839890,0
20220102 220400,0.839900,0.839970,0.839900,0.839960,0
20220102 220500,0.839950,0.839990,0.839930,0.839990,0
20220102 220600,0.839980,0.840050,0.839980,0.840050,0
20220102 220700,0.840070,0.840070,0.840030,0.840030,0
20220102 220800,0.840030,0.840060,0.840000,0.840010,0
20220102 220900,0.840000,0.840080,0.840000,0.840070,0
20220102 221000,0.840060,0.840070,0.840000,0.840000,0
20220102 221100,0.839980,0.840010,0.839950,0.839980,0
20220102 221200,0.839990,0.840040,0.839990,0.840040,0
20220102 221300,0.840040,0.840040,0.840030,0.840030,0
20220102 221400,0.840040,0.840050,0.840040,0.840050,0
20220102 221500,0.840050,0.840140,0.840050,0.840080,0
20220102 221600,0.840080,0.840220,0.840080,0.840220,0
20220102 221700,0.840220,0.840230,0.840220,0.840230,0
20220102 221800,0.840220,0.840250,0.840210,0.840250,0
20220102 221900,0.840260,0.840260,0.840220,0.840220,0
20220102 222000,0.840230,0.840270,0.840220,0.840270,0
20220102 222100,0.840270,0.840300,0.840250,0.840260,0
20220102 222200,0.840230,0.840240,0.840220,0.840230,0
20220102 222300,0.840230,0.840260,0.840230,0.840260,0
20220102 222400,0.840270,0.840300,0.840270,0.840300,0
20220102 222500,0.840310,0.840340,0.840310,0.840330,0
20220102 222600,0.840330,0.840340,0.840320,0.840330,0
20220102 222800,0.840310,0.840310,0.840300,0.840310,0
20220102 222900,0.840310,0.840310,0.840250,0.840270,0
20220102 223000,0.840280,0.840340,0.840250,0.840320,0
20220102 223100,0.840320,0.840360,0.840310,0.840350,0
20220102 223200,0.840330,0.840360,0.840300,0.840340,0
20220102 223300,0.840340,0.840350,0.840300,0.840330,0
20220102 223400,0.840330,0.840360,0.840320,0.840360,0
20220102 223500,0.840370,0.840390,0.840300,0.840310,0
20220102 223600,0.840310,0.840340,0.840310,0.840330,0
20220102 223700,0.840330,0.840340,0.840320,0.840340,0
20220102 223800,0.840350,0.840390,0.840350,0.840370,0
20220102 223900,0.840380,0.840380,0.840380,0.840380,0
20220102 224000,0.840390,0.840470,0.840390,0.840460,0
20220102 224100,0.840470,0.840530,0.840470,0.840530,0
20220102 224200,0.840530,0.840540,0.840500,0.840510,0
20220102 224300,0.840510,0.840580,0.840510,0.840570,0
20220102 224400,0.840560,0.840580,0.840520,0.840530,0
20220102 224500,0.840520,0.840610,0.840450,0.840610,0
20220102 224600,0.840640,0.840650,0.840610,0.840620,0
20220102 224700,0.840630,0.840640,0.840520,0.840600,0
20220102 224800,0.840610,0.840610,0.840590,0.840600,0
20220102 224900,0.840600,0.840630,0.840600,0.840620,0
20220102 225000,0.840610,0.840660,0.840600,0.840620,0
20220102 225100,0.840620,0.840620,0.840590,0.840590,0
20220102 225200,0.840600,0.840620,0.840560,0.840590,0
20220102 225300,0.840580,0.840630,0.840580,0.840580,0
20220102 225400,0.840580,0.840620,0.840580,0.840610,0
20220102 225500,0.840610,0.840620,0.840550,0.840570,0
20220102 225600,0.840540,0.840580,0.840510,0.840560,0
20220102 225700,0.840570,0.840590,0.840560,0.840570,0
20220102 225800,0.840570,0.840600,0.840560,0.840560,0
20220102 225900,0.840570,0.840610,0.840570,0.840590,0
20220102 230000,0.840540,0.840540,0.840500,0.840520,0
20220102 230100,0.840510,0.840510,0.840360,0.840380,0
20220102 230200,0.840390,0.840390,0.840340,0.840340,0
20220102 230300,0.840340,0.840340,0.840320,0.840330,0
20220102 230400,0.840300,0.840320,0.840280,0.840290,0
20220102 230500,0.840320,0.840320,0.840290,0.840300,0
20220102 230600,0.840300,0.840320,0.840230,0.840230,0
20220102 230700,0.840230,0.840250,0.840220,0.840230,0
20220102 230800,0.840220,0.840230,0.840120,0.840120,0
20220102 230900,0.840120,0.840140,0.840120,0.840140,0
20220102 231000,0.840150,0.840150,0.840110,0.840120,0
20220102 231100,0.840120,0.840140,0.840120,0.840140,0
20220102 231200,0.840130,0.840140,0.840130,0.840130,0
20220102 231300,0.840110,0.840160,0.840110,0.840150,0
20220102 231400,0.840160,0.840170,0.840150,0.840150,0
20220102 231500,0.840140,0.840140,0.840080,0.840080,0
20220102 231600,0.840080,0.840080,0.840080,0.840080,0
20220102 231700,0.840080,0.840080,0.840080,0.840080,0
20220102 231800,0.840070,0.840160,0.840070,0.840150,0
20220102 232200,0.840150,0.840170,0.840130,0.840160,0
20220102 232300,0.840150,0.840150,0.840120,0.840120,0
20220102 232400,0.840160,0.840160,0.840160,0.840160,0
20220102 232500,0.840160,0.840190,0.840090,0.840190,0
20220102 232600,0.840200,0.840240,0.840170,0.840220,0
20220102 232700,0.840220,0.840260,0.840210,0.840210,0
20220102 232800,0.840210,0.840220,0.840200,0.840220,0
20220102 232900,0.840220,0.840240,0.840220,0.840240,0
20220102 233000,0.840240,0.840240,0.840210,0.840210,0
20220102 233100,0.840210,0.840210,0.840200,0.840200,0
20220102 233200,0.840200,0.840200,0.840170,0.840180,0
20220102 233300,0.840170,0.840170,0.840170,0.840170,0
20220102 233400,0.840210,0.840210,0.840180,0.840190,0
20220102 233500,0.840190,0.840200,0.840180,0.840200,0
20220102 233600,0.840180,0.840180,0.840180,0.840180,0
20220102 233700,0.840180,0.840180,0.840180,0.840180,0
20220102 233900,0.840180,0.840200,0.840180,0.840190,0
20220102 234000,0.840190,0.840190,0.840170,0.840180,0
20220102 234100,0.840180,0.840200,0.840180,0.840200,0
20220102 234200,0.840200,0.840210,0.840180,0.840210,0
20220102 234300,0.840210,0.840210,0.840150,0.840150,0
20220102 234500,0.840160,0.840160,0.840150,0.840150,0
20220102 234600,0.840140,0.840150,0.840000,0.840010,0
20220102 234700,0.840030,0.840060,0.840020,0.840040,0
20220102 234800,0.840060,0.840060,0.840060,0.840060,0
20220102 234900,0.840060,0.840060,0.840060,0.840060,0
20220102 235000,0.840050,0.840300,0.840050,0.840230,0
20220102 235100,0.840250,0.840320,0.840230,0.840240,0
20220102 235200,0.840260,0.840310,0.840260,0.840280,0
20220102 235300,0.840260,0.840290,0.840240,0.840250,0
20220102 235400,0.840250,0.840260,0.840190,0.840210,0
20220102 235500,0.840190,0.840190,0.840150,0.840170,0
20220102 235600,0.840160,0.840160,0.840120,0.840130,0
20220102 235700,0.840130,0.840200,0.840130,0.840170,0
20220102 235800,0.840170,0.840170,0.840080,0.840080,0
20220102 235900,0.840070,0.840100,0.840060,0.840090,0
20220103 000000,0.840090,0.840090,0.840020,0.840030,0
20220103 000100,0.840030,0.840030,0.839990,0.839990,0
20220103 000200,0.840000,0.840030,0.839960,0.839960,0
20220103 000300,0.839960,0.839960,0.839920,0.839920,0
20220103 000400,0.839920,0.839980,0.839920,0.839960,0
20220103 000500,0.839940,0.839970,0.839940,0.839950,0
20220103 000600,0.839950,0.839950,0.839950,0.839950,0
20220103 000700,0.839950,0.839990,0.839950,0.839990,0
20220103 000800,0.839990,0.840050,0.839990,0.840040,0
20220103 000900,0.840050,0.840070,0.840020,0.840020,0
20220103 001000,0.840030,0.840030,0.840020,0.840020,0
20220103 001100,0.840040,0.840050,0.840030,0.840030,0
20220103 001200,0.840030,0.840070,0.840030,0.840050,0
20220103 001300,0.840050,0.840050,0.840010,0.840010,0
20220103 001400,0.840010,0.840050,0.840010,0.840040,0
20220103 001500,0.840040,0.840040,0.839990,0.839990,0
20220103 001600,0.839980,0.840010,0.839970,0.839970,0
20220103 001700,0.839970,0.839970,0.839960,0.839960,0
20220103 001800,0.839960,0.839960,0.839940,0.839940,0
20220103 001900,0.839930,0.839930,0.839930,0.839930,0
20220103 002000,0.839940,0.839940,0.839930,0.839930,0
20220103 002100,0.839940,0.839960,0.839920,0.839920,0
20220103 002200,0.839930,0.839940,0.839910,0.839940,0
20220103 002300,0.839960,0.839970,0.839960,0.839960,0
20220103 002400,0.839960,0.840040,0.839940,0.839940,0
20220103 002500,0.839940,0.839940,0.839930,0.839930,0
20220103 002600,0.839930,0.839930,0.839920,0.839920,0
20220103 002700,0.839940,0.839940,0.839910,0.839920,0
20220103 002800,0.839930,0.839930,0.839860,0.839890,0
20220103 002900,0.839890,0.839920,0.839870,0.839880,0
20220103 003000,0.839890,0.839890,0.839840,0.839850,0
20220103 003100,0.839850,0.839870,0.839830,0.839850,0
20220103 003200,0.839850,0.839870,0.839830,0.839850,0
20220103 003300,0.839870,0.839870,0.839870,0.839870,0
20220103 003400,0.839870,0.839890,0.839870,0.839870,0
20220103 003500,0.839880,0.839990,0.839880,0.839930,0


