Date,Open,High,Low,Close,Volume
08/24/2022,"173.58","173.84","172.00","172.72","477,414"
08/23/2022,"172.02","174.70","171.96","173.60","580,853"
08/22/2022,"175.12","175.82","172.02","173.50","894,539"
08/19/2022,"177.16","177.58","174.52","176.02","1,217,091"
08/18/2022,"177.50","179.36","177.22","178.52","550,668"
08/17/2022,"180.44","181.04","176.98","177.54","863,497"
08/16/2022,"179.12","181.76","179.12","179.94","758,340"
08/15/2022,"181.46","181.92","177.58","178.78","838,328"
08/12/2022,"179.96","182.04","179.64","181.08","823,797"
08/11/2022,"179.24","180.06","178.30","179.00","466,553"
08/10/2022,"178.48","180.44","176.84","178.50","752,127"
08/09/2022,"177.58","179.48","177.02","178.56","646,159"
08/08/2022,"177.48","178.98","175.22","177.84","868,388"
08/05/2022,"177.32","177.64","173.90","176.64","1,797,860"
08/04/2022,"180.00","181.40","179.22","179.46","662,437"
08/03/2022,"176.74","179.38","176.04","179.18","688,556"
08/02/2022,"177.50","178.28","175.60","176.24","652,286"
08/01/2022,"177.54","179.86","177.46","178.28","800,439"
07/29/2022,"174.64","178.12","173.48","177.32","1,162,686"
07/28/2022,"174.68","175.10","172.38","173.38","801,069"
07/27/2022,"174.38","175.20","172.90","173.82","582,838"
07/26/2022,"174.16","174.66","172.78","173.64","640,263"
07/25/2022,"174.18","176.30","173.80","174.42","694,241"
07/22/2022,"174.20","175.32","173.12","174.12","819,311"
07/21/2022,"175.34","175.76","172.00","174.38","1,008,480"
07/20/2022,"176.60","177.38","173.54","175.14","811,605"
07/19/2022,"172.92","176.70","172.34","175.72","836,608"
07/18/2022,"174.08","176.08","173.42","173.68","678,300"
07/15/2022,"170.58","173.34","169.14","173.00","1,026,423"
07/14/2022,"175.60","176.40","168.20","169.94","1,755,542"
07/13/2022,"176.16","177.46","174.54","175.98","1,318,057"
07/12/2022,"177.36","179.38","174.90","179.38","994,046"
07/11/2022,"178.22","180.78","178.02","178.28","594,433"
07/08/2022,"178.24","180.48","177.58","180.28","781,334"
07/07/2022,"178.94","179.44","177.62","178.46","1,040,280"
07/06/2022,"176.36","177.82","173.76","175.50","1,463,614"
07/05/2022,"184.02","184.02","175.02","175.22","1,619,467"
07/04/2022,"182.92","184.36","182.48","183.02","507,166"
07/01/2022,"179.42","183.46","179.18","182.00","817,938"
06/30/2022,"181.52","182.36","179.72","182.12","1,463,925"
06/29/2022,"182.14","184.96","181.98","183.72","881,044"
06/28/2022,"181.92","184.74","181.92","183.10","788,906"
06/27/2022,"181.62","182.24","180.20","181.04","1,069,053"
06/24/2022,"179.94","182.14","179.24","181.20","1,308,269"
06/23/2022,"183.60","183.68","179.00","179.00","1,430,610"
06/22/2022,"182.40","184.50","180.72","183.84","1,064,903"
06/21/2022,"187.04","188.00","185.14","185.14","785,860"
06/20/2022,"184.32","186.12","183.08","186.12","688,793"
06/17/2022,"184.40","185.04","181.98","183.44","2,634,736"
06/16/2022,"185.66","185.94","182.46","183.50","1,207,497"
06/15/2022,"185.00","188.78","184.78","186.50","1,592,810"
06/14/2022,"183.00","184.30","181.74","182.06","1,192,019"
06/13/2022,"180.82","182.54","179.62","182.04","1,481,944"
06/10/2022,"188.50","188.50","182.00","182.50","1,817,582"
06/09/2022,"191.14","191.88","189.14","189.38","1,064,398"
06/08/2022,"196.02","196.52","191.22","191.58","1,271,278"
06/07/2022,"196.60","198.98","195.34","196.16","738,920"
06/06/2022,"196.76","199.10","196.08","198.30","496,756"
06/03/2022,"195.88","196.72","194.32","195.18","638,006"
06/02/2022,"194.90","196.16","193.82","194.74","546,610"
06/01/2022,"196.42","197.26","193.78","193.90","981,150"
05/31/2022,"198.50","198.90","194.58","195.02","1,893,257"
05/30/2022,"200.45","200.55","198.62","199.60","760,940"
05/27/2022,"199.42","200.50","197.94","200.20","859,947"
05/26/2022,"198.00","199.24","197.26","198.80","938,622"
05/25/2022,"199.82","200.85","197.46","197.48","1,092,559"
05/24/2022,"197.60","199.56","196.96","197.86","730,915"
05/23/2022,"198.72","199.38","197.04","199.38","793,718"
05/20/2022,"197.06","198.98","195.32","195.58","1,421,293"
05/19/2022,"198.16","199.12","194.34","194.80","1,588,151"
05/18/2022,"202.35","203.10","200.20","200.85","832,350"
05/17/2022,"199.54","202.60","198.54","202.25","1,592,794"
05/16/2022,"199.86","200.70","197.40","198.82","955,154"
05/13/2022,"199.90","200.95","198.02","200.40","1,008,252"
05/12/2022,"202.00","203.35","196.74","198.34","1,497,983"
05/11/2022,"196.94","205.65","195.88","205.15","2,192,975"
05/10/2022,"194.50","196.06","192.54","193.72","1,370,842"
05/09/2022,"195.02","196.18","191.18","191.66","1,341,406"
