Features,Best Model,Train Precision,Train Reward,Test Precision,Test Reward,Best Threshold
"('bb_middle_crossing', 'macd_max_4h', 'adx_max_4h')",XGBClassifier,0.3225806451612903,-55,0.2571428571428571,-17,0.6
"('rsi_convergence', 'ema_20_channel', 'bb_sqeeze_both_direction')",XGBClassifier,0.3548387096774194,-18,0.4,-3,0.6
"('macd_max_4h', 'macd_slope_4h', 'adx')",XGBClassifier,0.25,-36,0.2631578947368421,-9,0.55
"('bb_middle_crossing', 'adx_4h', 'adx_max_4h')",XGBClassifier,0.3595505617977528,-25,0.3125,-6,0.6
"('macd_max', 'bb_middle_crossing', 'bb_middle_crossing_4h')",XGBClassifier,0.22727272727272727,-612,0.22033898305084745,-165,0.55
"('adx_slope', 'cci', 'rsi')",XGBClassifier,0.19607040523945968,-1485,0.1977124183006536,-370,0.55
"('squeeze_momentum', 'ema_10_50', 'bb_sqeeze_both_direction')",XGBClassifier,0.3333333333333333,-3,0.0,0,0.55
"('rsi', 'williams_break', 'rsi_convergence5_40')",XGBClassifier,0.2623762376237624,-96,0.26666666666666666,-21,0.6
"('cci', 'bb_middle_crossing', 'macd_slope_4h')",XGBClassifier,0.27751196172248804,-93,0.25925925925925924,-26,0.6
"('bb_sqeeze_both_direction_4h', 'rsi_limit_4h', 'macd_max_4h')",XGBClassifier,0.17321207110376188,-3162,0.17680454176804541,-797,0.5
"('macd_zero', 'bb_sqeeze_both_direction', 'adx')",XGBClassifier,0.19808126410835214,-1070,0.2203023758099352,-259,0.55
"('macd_max', 'bb_sqeeze_both_direction', 'adx')",XGBClassifier,0.3076923076923077,-5,0.0,-1,0.55
"('rsi_limit_4h', 'rsi_convergence5_40', 'williams_limit_4h')",XGBClassifier,0.25210084033613445,-59,0.16666666666666666,-20,0.55
"('macd_convergence', 'rsi', 'rsi_convergence5_40')",XGBClassifier,0.23938223938223938,-405,0.25116279069767444,-107,0.6
"('ema_20_channel', 'rsi_convergence5_40', 'bb_sqeeze_both_direction')",XGBClassifier,0.2636363636363636,-52,0.25,-12,0.55
"('williams_break', 'candle_4h', 'adx')",XGBClassifier,0.21831955922865015,-818,0.21159420289855072,-199,0.55
"('rsi_break_4h', 'bb_middle_crossing', 'williams_limit_4h')",XGBClassifier,0.19549729267597607,-2137,0.19495412844036697,-532,0.5
"('bb_sqeeze_both_direction_4h', 'rsi_convergence5_40', 'bb_sqeeze_both_direction')",XGBClassifier,0.16957803992740472,-5826,0.1800453514739229,-1411,0.5
"('squeeze_momentum', 'macd_slope_4h', 'adx')",XGBClassifier,0.17536369386464262,-4106,0.17940619077700568,-1015,0.5
"('cci', 'rsi_break_4h', 'bb_middle_crossing_4h')",XGBClassifier,0.22151898734177214,-88,0.21052631578947367,-22,0.55
"('bb_sqeeze_both_direction_4h', 'adx_4h', 'candle_4h')",XGBClassifier,0.18325242718446602,-3654,0.18482758620689654,-914,0.5
"('cci_4h', 'bb_middle_crossing_4h', 'adx')",XGBClassifier,0.16943412715752676,-6052,0.18032076289553534,-1475,0.5
"('adx_max_48', 'adx_4h', 'candle_4h')",XGBClassifier,0.17567920585161964,-4966,0.18355739400206825,-1224,0.5
"('macd_convergence', 'cci', 'squeeze_momentum')",XGBClassifier,0.19992676675210547,-1639,0.22826086956521738,-400,0.5
"('cci', 'candle_4h', 'bb_sqeeze_both_direction')",XGBClassifier,0.18299284092893311,-3631,0.19123783031988872,-888,0.5
"('adx_4h', 'bb_middle_crossing_4h', 'adx_max_4h')",XGBClassifier,0.18141681717840658,-3175,0.1923383878691141,-771,0.5
"('macd_zero', 'adx_max_48', 'adx_4h')",XGBClassifier,0.20058351568198396,-1642,0.20821529745042494,-412,0.55
"('bb_sqeeze_both_direction_4h', 'rsi_break_4h', 'ema_20_channel')",XGBClassifier,0.2517985611510791,-69,0.17073170731707318,-27,0.55
"('squeeze_momentum', 'macd_max_4h', 'ema_20_channel')",XGBClassifier,0.29411764705882354,-28,0.3076923076923077,-5,0.6
"('macd_zero', 'bb_middle_crossing', 'adx_max_4h')",XGBClassifier,0.37349397590361444,-21,0.26666666666666666,-7,0.6
"('rsi_limit_4h', 'rsi', 'macd')",XGBClassifier,0.2145377558221595,-809,0.20786516853932585,-208,0.55
"('candle_4h', 'bb_middle_crossing_4h', 'macd_slope_4h')",XGBClassifier,0.1816973188566364,-2873,0.18141592920353983,-720,0.5
"('squeeze_momentum', 'ema_20_channel', 'rsi_convergence5_40')",XGBClassifier,0.22767857142857142,-122,0.13953488372093023,-31,0.55
"('adx_slope', 'macd_convergence', 'rsi_convergence5_40')",XGBClassifier,0.2479740680713128,-311,0.29375,-66,0.6
"('squeeze_momentum', 'macd_slope', 'williams_limit_4h')",XGBClassifier,0.23809523809523808,-44,0.2631578947368421,-9,0.55
"('bb_middle_crossing', 'williams_break', 'adx')",XGBClassifier,0.2433234421364985,-346,0.22093023255813954,-96,0.6
"('macd_max', 'bb_middle_crossing', 'williams_break')",XGBClassifier,0.24533715925394547,-355,0.21348314606741572,-102,0.6
"('macd_max_4h', 'ema_10_50', 'williams_limit_4h')",XGBClassifier,0.25225225225225223,-55,0.19230769230769232,-16,0.55
"('cci_4h', 'bb_sqeeze_both_direction', 'williams_limit_4h')",XGBClassifier,0.19965967101531482,-1059,0.22748815165876776,-230,0.55
"('rsi_break_4h', 'bb_middle_crossing', 'bb_middle_crossing_4h')",XGBClassifier,0.22735346358792186,-614,0.22033898305084745,-165,0.55
